switch/name,switch/url,switch/price,switch/description
GATERON INK V2 Silent Black Linear Switches,https://kbdfans.com/collections/switches/products/gateron-ink-v2-silent-black-linear-switches,$8.50,Silent black Ink Linear 60 cN operating force 2.0 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem
GATERON INK V2 Blue Tactile Switches,https://kbdfans.com/collections/switches/products/gateron-ink-v2-blue-tactile-switches,$7.50,Ink Blue Tactile and clicky 75 cN operating force 2.0 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem
GATERON INK V2 Yellow Linear Switches,https://kbdfans.com/collections/switches/products/gateron-ink-v2-yellow-linear-switches,$7.50,Ink Yellow Linear 60 cN operating force 1.5 mm pre travel 3.5 mm total travel PCB mount 5pin MX stem
GATERON INK V2 Red Linear Switches,https://kbdfans.com/collections/switches/products/gateron-ink-v2-red-linear-switches,$7.50,Ink Red Linear 45 cN operating force 2.0 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem
GATERON INK V2 Black Linear Switches,https://kbdfans.com/collections/switches/products/gateron-ink-v2-black-switches,$7.50,Ink Black Linear 60 cN operating force 2.0 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem
Cherry MX Hyperglide Green Tactile Switches,https://kbdfans.com/collections/switches/products/cherry-mx-hyperglide-green-tactile-switches,$3.50,Specs Hyperglide 5pins Green Tactile and clicky 70 cN operating force 2.2 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem
Cherry MX Hyperglide Milk Tactile Switches,https://kbdfans.com/collections/switches/products/cherry-mx-hyperglide-milk-tactile-switches,$3.50,Specs Hyperglide 5pins Milk Tactile and clicky 70 cN operating force 2.2 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem
Cherry MX Hyperglide Brown Tactile Switches,https://kbdfans.com/collections/switches/products/cherry-mx-hyperglide-brown-tactile-switches,$3.50,Specs Hyperglide 5pins Brown Tactile 45 cN operating force 2.0 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem
Cherry MX Hyperglide Blue Tactile Switches,https://kbdfans.com/collections/switches/products/cherry-mx-hyperglide-blue-linear-switches,$3.50,Specs Hyperglide 5pins Blue Tactile and clicky 50 cN operating force 2.2 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem
Cherry MX Hyperglide Red Linear Switches,https://kbdfans.com/collections/switches/products/cherry-mx-hyperglide-red-linear-switches,$3.50,Specs Hyperglide 5pins Red Linear 45 cN operating force 2.0 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem
Gateron SMD Yellow Liner Switches,https://kbdfans.com/collections/switches/products/gateron-smd-yellow-liner-switches,$4.00,Specs Yellow Linear 50 cN operating force 2.0 mm pre travel 4.0 mm total travel Plate mount 3pin MX stem
Gateron SMD Clear Liner Switches,https://kbdfans.com/collections/switches/products/gateron-smd-clear-liner-switches,$4.00,Specs Clear Linear 35 cN operating force 2.0 mm pre travel 4.0 mm total travel Plate mount 3pin MX stem
